course_name,course_url,topics,skills,tools,syllabus_summary
AI-Supercharged Storytelling & Data Analysis for Leaders and Managers,https://maven.com/amitrawal/aistorytellinganddataanalysis,"AI, Storytelling","B1: Models & Selection (80%), A1: Strategy & Feasibility (30%), A3: Eval & Iteration (30%)","Claude, Gemini","Intro to Gen AI Capabilities for Data, Analytics, & Storytelling, Gen AI Ecosystem & Trends, Prompting Best Practices for optimal outcomes, A 6-Months Subscription to ""You, Me, and AI"", Deep dive into each step, supercharged with AI, Step 2: Data Prep & Readiness, Additional Readings & Sourceson, Step 5: Superpowers to Sway the Stakeholders, Your Data Storytelling Playbook, Step 1: Clarity of Problem, Framework to Tackle Any Data-Driven Story, Step3: AI Powered Analysis & Insights, Your Personal AI Coach, Step 4: Storytelling like a Pro, powered by AI, Top Predictions for Gen AI Powered Data and Analytics"
AI-powered Behavioral Design Sprint,https://maven.com/make-it-toolkit/ai-powered-behavioral-design-workshop,"AI, Design Sprints","A1: Strategy & Feasibility (30%), D1: Communication & Influence (30%)","ChatGPT, Figma","Design Methods, The Behavioral Challenge Statement, Case Study Example: Get Vaccinated, The Five Laws of Behavior, Case Study Example: Healthcare, Prompts (Internal and External), Case Study: Manager Training Adoption, The Behavioral Strategy Canvas, Key Differences between Traditional and Behavioral Journey Mapping, Why did I build it?, The Five Laws of Behavior as it relates to Behavioral Journey Mapping, Reflecting on your Behavioral Design Hypothesis, Why Perform User Task Analysis?, Group Discussion - Missing Layers of Behavioral Journey Mapping, Case Study Example: Get Vacinated"
API Fundamentals for Product Managers,https://maven.com/emmanuel/api-pm-fundamentals,APIs,"A1: Strategy & Feasibility (30%), A2: PRD & Specs (30%), B2: System Architecture (30%)",,"Naming, Vocabulary, and Data Types/Structures, How APIs Work, API Value Proposition and Positioning, API-First and Design-First Strategies, What is Developer Experience (DX), Understanding Your Customers’ Customers’ Use Cases, API Roadmaps and Stakeholder Management, Conferences & Events, Hands-on with Public APIs, Product Management Resources, Authentication Types and Standards, API Audience, Examples of Successful API Products, Other courses, Conventions and Best Practices"
API Product Mastery for Experienced PMs,https://maven.com/emmanuel/api-pm-mastery,APIs,"A2: PRD & Specs (80%), A4: Shipping & Lifecycle (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A3: Eval & Iteration (30%), B1: Models & Selection (30%), A5 (30%)","ChatGPT, Claude, Gemini, OpenAI API, Replit","API-First: Changing How You Build Products, MCP Introduction, Product Management Resources, API Metrics, Product Growth & GTM Funnels, Implementation: Frameworks & Code Generation, Developer Experience Canvas (Miro), API Architectures (REST, GraphQL, Async, gRPC), Lean Canvas, Ash Maurya, Evaluate Success Factors for a selected API Business, Evaluate and Rank 5 APIs, Evaluate how Agents may affect your APIs, Putting it all together - Build and Demo your API Prototype, API Books, Useful surveys, OpenAPI Cheat Sheet"
Accelerating Innovation with A/B Testing,https://maven.com/kohavi/abtesting,"A/B Testing, Experimentation","A3: Eval & Iteration (80%), A1: Strategy & Feasibility (30%)",,
Acing Engineering Manager Interviews,https://maven.com/alex-kliotzkin/acing-em-interviews,"Career Growth, Interviewing",,,"Your leadership philosophy, Your systems + frameworks"
Actionable AI For Marketers,https://maven.com/britney-muller/actionable-ai-for-marketers,AI,"A1: Strategy & Feasibility (80%), B1: Models & Selection (30%), B2: System Architecture (30%), B3: Agents & RAG (30%)","ChatGPT, Claude, Claude Code, Gemini, Midjourney, OpenAI API, Zapier","Sentiment Analysis 101, Project: Identify an AI Opportunity, The AI Showcase, Find Supporting Data, (Optional) Intro To Python For AI [Hands-On], Building a ""Brand Brain"", From ""Chatting"" to ""Doing"", What is AI?, (Optional) Ethical AI Video, Leveraging AI for Social Media, AI 101 for Marketers, Intro to AI-Driven Marketing Automation, How Will It Impact You In 2026?, AI Tools for Visual Content & Ads, SEO Data and AI: Where They Intersect"
Advanced AI Product Leadership Certification,https://maven.com/marily-nika/advanced-ai-product-management,"AI, Product Management Certifications","A3: Eval & Iteration (80%), A4: Shipping & Lifecycle (80%), B1: Models & Selection (30%), B3: Agents & RAG (30%)","ChatGPT, DALL-E, GPT-4, Gemini, Google Colab, LangChain, OpenAI API, Perplexity, Pinecone, Zapier","[Video 5] AI Agents, AI Development Lifecycle & MLOps Definitions, Slides, OKRs, [Video 1] How (and why) it all started, AI Product Competencies, [Optional] MLOps pipeline e2e, LLM Benchmarks-and-tools, Templates, What feature would you create for Anthropic?, LLM Evaluation Metrics (Statistical, Language model-based, LLM assisted), 4 ways to make the most of cohort-based courses and your learning community, Become an Ambassador of the AI PM Academy, Introduction to LLM Evaluation, AI, Algorithms & Applications Map"
Advanced AI Prompting for In-House Legal - 201,https://maven.com/ceciliaz/legalprompting201advanced,AI,A3: Eval & Iteration (30%),,Pre-class checklist
"Advanced Financial and Business Modeling for Growth, Turnaround, and Recovery",https://maven.com/seidman-financial/financial-modeling,Financial Modeling,,Copilot,"Session Content, Navigating the course content on Maven, Start interacting with the network + community in The Finance Circle, About Carl, the Instructor and Your Partner, Capstone Business Case: Advanced Financial and Business Modeling, 🎯 INTRODUCTION TO THE BUSINESS CASE, 5 ways to make the most of cohort-based courses and your learning community, Download the Course Files, Driver-Based Forecasting: Industry Examples, Setting yourself up for a successful course, Building the Statement of Cash Flows, LinkedIn Learning Courses by Carl Seidman"
Advanced Topics in Practical A/B Testing,https://maven.com/kohavi/advanced-ab,"A/B Testing, Experimentation",A3: Eval & Iteration (80%),,
Agent Engineering Bootcamp,https://maven.com/agent-lab/agent-engineering-bootcamp,"Agentic AI, Coding with AI","B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), B2: System Architecture (30%), A5 (80%)","Claude, Claude Code","Intro to Claude Code, Extend Your Agent With an External Knowledge Base, Intro to Git, Github w Claude Code, HW Submission: Build Your First Agent, Submit 2 Project Ideas for Your Capstone, Idea Bank, Agentic Search"
Agent Engineering Bootcamp: Developers Edition,https://maven.com/boring-bot/advanced-llm,"AI, Agentic AI","B1: Models & Selection (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), A3: Eval & Iteration (30%)","GPT-4, Hugging Face, LangGraph, Perplexity","Slides, Lesson 2: Enterprise RAG, Deck, Medium Articles, Enterprise RAG, Semantic Cache + Redis + GCP, Lesson 1: Closed-Source vs Open-Source LLMs, Code File, Run all Code Files, Dive into Speculative Decoding (team project), Sub Query Breakdown, Stretch Goal: Creating an Agentic RAG with a quantized LLM, Advanced Knowledge Graph Notebook, Lesson 2: Semantic Caching Explained, Hugging Face Text Generation Inference, Ontologies and Knowledge Graph - white paper"
Agent-First Software Engineering,https://maven.com/nila/agent-first-software-engineering,"AI, Agentic AI, Coding with AI","B3: Agents & RAG (80%), B1: Models & Selection (30%), B2: System Architecture (30%), A5 (80%)",,"Day 1 Transcripts, Bonus Credits, Day 2 Transcripts, Day 3 Transcripts"
Agentic AI Product Management Certification,https://maven.com/mahesh-yadav/genaipm,"AI, Agentic AI","A2: PRD & Specs (80%), A3: Eval & Iteration (80%), B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A4: Shipping & Lifecycle (30%), B1: Models & Selection (30%), B2: System Architecture (30%)","ChatGPT, Claude, Claude Code, Copilot, n8n","Post Bank, Resume Updates - Claim your proficiency, Working Lab Session with Mentors - 3rd Mar @9:00 AM PST, ML Concepts & Lab Session- 22nd Feb @7:00 AM PST, Post Bank - Share your proficiency, [ML Concepts] Supervised vs. Unsupervised Learning vs Reinforcement, Course Slides, [Ecosystem] History and Agentic AI (A context setting exercise), Sat Pod - Week 1 -14th Feb - 9 AM PST, Memory Integration in n8n, Pick your Problem, Module 2 Multi-Agent Systems, Sat Pod - Week 6 - 21st Mar - 9 AM PST, [AI PM Skills] KPIs for Agents, [ML Concept] Transformer"
Agentic AI System Design for PMs,https://maven.com/boring-bot/ml-system-design,"AI, Agentic AI","B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A3: Eval & Iteration (30%), A4: Shipping & Lifecycle (30%), B1: Models & Selection (30%), B2: System Architecture (30%), D1: Communication & Influence (30%), A5 (30%)","Claude, Claude Code, GPT-4, Gemini, Hugging Face, LangChain, Lovable, OpenAI API, Perplexity, Zapier, n8n","Prompt Engineering is Everything?, Install & Build with Claude Code, Build Lisa - Your First Agent, Feedback & Revisions, [slide deck] Module 01: Foundations of AI Agents, Getting Started with Lovable, Video Walkthrough: Calorie Tracker, Slide Deck, MCP (Model Context Protocol), Connecting Your n8n Webhook with Lovable Frontend - Step by Step, Demo day details, Project 3: Build a Multimodal AI Agent, Assignment: Build your first agent - Lisa 🤖, Team Collaboration & Execution Planning, Optional: Travel Agent Workflow"
Agentic AI for Leaders,https://maven.com/vajariya/ai-for-leaders,"AI, Agentic AI","A1: Strategy & Feasibility (80%), B3: Agents & RAG (80%), A2: PRD & Specs (30%), A4: Shipping & Lifecycle (30%), B1: Models & Selection (30%), B2: System Architecture (30%)",,"Session 1: The Agentic Era of AI (90 min), Session 2: Architecting Agentic Workflows (90 min), Session 3: ROI, Funding & Governance (90 min), Session 4: Capstone & Funding Pitch (90 min), Assessment (optional), Capstone"
Agentic AI for Research: Build Custom Workflows & Synthetic Users,https://maven.com/john-whalen/agentic-ai-for-research,"AI, Agentic AI, UX, User Research","B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), D1: Communication & Influence (30%)",,
Agentic Artificial Intelligence for Leaders,https://maven.com/the-future-solving-company/agentic-intelligence-for-leaders,"AI, Agentic AI","A1: Strategy & Feasibility (80%), B1: Models & Selection (30%)","ChatGPT, Claude, GPT-4, LangChain","How the five 'ations' work together to create the future, The five 'ations', The secret to making language models useful, Interview with Phil Fersht (CEO, HFS Research), Lesson 2:  Foundations and Framework of Agentic AI, Endless right answers: The GenAI value gap, Class 6: Human Factors, Testing, & Reliability, Lesson 5: Getting Started with Agentic AI and the Agentic AI Ecosystem, Lesson 4: Implementing Agentic AI: Opportunity Selection, Design, and Scaling, Making Friends with Machine Learning, Nancy Duarte's Secret Structure of Great Talks, Lesson 4: Agentic AI Implementation and Future Evolution, Trust in AI is more than a moral problem, Intro, AI Agents, Autonomous Transformation, and Real-World Examples, Agents in Action"
Applied Conformal Prediction,https://maven.com/valeriy-manokhin/applied-conformal-prediction,"AI, Machine Learning","A3: Eval & Iteration (30%), B1: Models & Selection (30%)",,
B2B Influencer Marketing: How to Plan and Run Effective Campaigns,https://maven.com/sarah-adam/b2b-influencer-marketing-how-to-plan-and-run-effective-campaigns,"B2B, Branding, GTM, Marketing",,,Why feedback matters
Become an AI Product Designer,https://maven.com/maheensohail/aidesign,"AI, Design","A1: Strategy & Feasibility (80%), A3: Eval & Iteration (30%), B1: Models & Selection (30%), B2: System Architecture (30%), D1: Communication & Influence (30%), A5 (80%)","ChatGPT, Claude, Claude Code, Copilot, Cursor, Figma, Gemini, Hugging Face, LangGraph, Lovable, Make, Midjourney, Notion AI, Perplexity, Replit, Stable Diffusion, Zapier","Introduction to Prototyping Tools, [Bonus Content] How Meaghan Choi from Anthropic uses System Prompting, Exploring AI Models through Demos, Workshop: Let's Build a Weather App in Cursor, Innovative AI Design Patterns, Skills Required to Work in AI Design, Design Process for building AI Products, What are managers looking for?, Additional Stakeholders you might collaborate with, Cliff Warren (Meta) shares his Cursor + FIGMA MCP Project, Alternative Tool: Lovable or V0, AI Product One Pager, Design an AI Pattern, Share your Initial AI Demos!, AI Product Showcase - Communicating your ideas"
Become an Agentic Architect,https://maven.com/carmelo-iaria/agentic-architect,"AI, Agentic AI","B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A4: Shipping & Lifecycle (30%), B2: System Architecture (30%), A5 (30%)","ChatGPT, Claude, Claude Code, Cursor, GPT-4, Gemini, Hugging Face, LangChain, LangGraph, Perplexity","Agents Collaboration in CrewAI, Why CrewAI ?, Agent Roles, Goals, and Backstories, USE CASE 2. Multi-Agent Customer Support Crew, Planning & Reasoning with CrewAI, Human-in-the-Loop & Feedback Mechanisms, Choosing an appropriate Multiagent System strategy, Choose your Capstone Project, Publish your MRD and PRD, Publish your SAD, Commit your Frontend code, Commit the Integrated code, Publish your Capstone Project, Best Practices for Agent Design, Memory Management in CrewAI"
Behavioral Science for Product and User Experience Design,https://maven.com/make-it-toolkit/ed4masterclass,UX,"D1: Communication & Influence (80%), A1: Strategy & Feasibility (30%)",Figma,"Make It Attractive - Gamification, 2nd Law of Behavior: System 1 (automatic) and System 2 (deliberate), Make It Intriguing, How Product Marketers Can Leverage Attention, Make It Aversive - Service Design, Make It Easy = Gamification, Makeit Strategies and Tactics mapped, Start with Why, Group Exercise: Familiarize yourself with behavioral barriers, Make It Scarce - Service Design, Ethics in Nudges, Make It Easy, The Ability Chain, Make It Empowering, Define Key Outcome and Key Behavior"
Beyond Senior Manager - Break Through to Strategic Executive,https://maven.com/ethan-evans/break-through-to-executive,Career Growth,,ChatGPT,"Bonus Material, The Standards of Great Executive Performance, Managing Your Promotion: Prerequisites & Process Steps, Ethan's Book List, Based on the book ""Decisive"" by Chip & Dan Heath, Level Up Newsletter & Community, Recommended Paid Coaching Options, Discount Code, Ethan Evans AI (Ethan GPT), Bonus Module, PDF slides and EthanGPT AI prompt document, Single Resource Document, Course Map, Bonus Module (watch before live sessions), FAQs"
Board Paper Bootcamp,https://maven.com/davinastanley/board-paper-bootcamp,Communication,C1 (80%),,"Access the Clarity Hub, FRAME MESSAGE - Patterns are possible, FIRM UP MESSAGE - Introduction to module, FIRM UP MESSAGE - Using the MECE test, FRAME MESSAGE - Patterns are natural, FLUSH OUT STRATEGY - Understand Boards, FRAME MESSAGE - Patterns help you stick to structure, Read this first, FIRM UP MESSAGE - Main Message, FLUSH OUT STRATEGY - Outcome, Fitting your messaging into a template, Setting yourself up for success with the Board Paper Bootcamp, FLIP INTO DOCUMENT - In paper format, Firm Up Message - Using Grouping structures, Don't miss this. Lock in your learning."
Brand for Growth-Stage Leaders: The 2026 Playbook,https://maven.com/kira/branding-strategy,Branding,,"Figma, Notion AI","Setting yourself up for a successful course, Bonus Activity: Brand Alignment Deep-Dive, Signing up for your sessions, Introduction: Brand Opportunities, Worksheet: How do you define ""brand""?, Leadership & Stakeholder Audit, Identify Your Brand's Opportunities, Recap: Brand Opportunities, Template + Worksheet: The Brand/Product Gap, Worksheet: Brand Foundations, Recap: Brand Alignment, Project: Your Org Chart, Recap: Brand Resourcing, Craft Your Playbook, Recap: Brand Campaigns"
Build AI Product Sense,https://maven.com/aman-khan/build-ai-product-sense,"AI, Product Strategy","A1: Strategy & Feasibility (80%), D1: Communication & Influence (30%)",,
Build Production-Ready AI Products: Advanced AI Product Management,https://maven.com/pmcurve-by-deepak/advanced-tech-ai-for-product-managers,AI,,,Everything to get you started
Build Your Engineering Management Operating System,https://maven.com/management-deltas/the-operating-system,Management,,,"The Manager’s Workbook, Make a Dent Workbook, The Team Analysis, Resources, Bonus Book"
Build an AI-confident Product Team,https://maven.com/break-a-pencil/prod-501-ai-driven-product-leadership,"AI, Leadership","A1: Strategy & Feasibility (80%), A4: Shipping & Lifecycle (80%), A2: PRD & Specs (30%), A3: Eval & Iteration (30%)","ChatGPT, Claude","AI Product Development Implementation Timeline and Integration Strategies, Complete your Strategic AI Positioning Audit, Team AI Readiness Assessment, Ethical AI Product Audit, AI Strategic Leadership Plan, AI Team Assessment Frameworks, The AI Leadership Gap: Why most PMs stay tactical while others advance, Authority Positioning: The five AI personas that separate leaders from followers, AI Governance Frameworks That Scale, Strategic AI Thinking : Moving beyond tool proficiency to strategic evaluation, The Five Pillars of Ethical AI Leadership, AI Landscape Intelligence: Market forces shaping product decisions, What to Do Next (The Honest Version), AI Product Development Success and Risk Frameworks, Course Foundation and Strategic Context"
"Build with AI: Mindset, Habits & Tools for the Next 20 Years",https://maven.com/superlinear/aibuilders,"AI, Productivity","B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A3: Eval & Iteration (30%), A4: Shipping & Lifecycle (30%), B2: System Architecture (30%), A5 (30%)","ChatGPT, Claude, Copilot, Cursor, DALL-E, GPT-4, Gemini, Hugging Face, LangChain, OpenAI API, Zapier","Case Study: Weekly Business Review - Problem Analysis, Final Summary: You Have Forged the Future, Extending Capabilities with Agentic Tools, The Road Ahead: Your Learning Path in Phase B, The Core Vision: Granting Your AI the Power of Initiative, Laying the Foundation — Your First FastAPI Application, Overview, The Architect's Cockpit: Mastering the Context Debugger, Your Starting Point: From Your Data to Your Magic, Your Creation: A System You Can't Buy, Recap and The Leap Forward: From Engine Builder to Application Architect, Your Starting Point: Building Your First Autonomous Agent, Phase 2: Building the MVP, Actionable guideline: Which tasks shall I delegate to GenAI?, Why We Don’t Teach RAG: A Deeper Dive into Its Principles and Future"
Building AI Applications for Data Scientists and Software Engineers,https://maven.com/hugo-stefan/building-ai-apps-ds-and-swe-from-first-principles,"AI, Working with LLMs","A4: Shipping & Lifecycle (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), A3: Eval & Iteration (30%), B1: Models & Selection (30%)",,"Adapting LLMs for Domain-Specific and Real-World Tasks, Structured Outputs and Agentic Workflows, Scaling and Productionizing LLM-Powered Apps"
Building Agentic AI Applications with a Problem-First Approach,https://maven.com/aishwarya-kiriti/genai-system-design,"AI, Agentic AI","A3: Eval & Iteration (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), B1: Models & Selection (30%), A5 (30%)","ChatGPT, Claude, Claude Code, Cursor, Figma, Gemini, Hugging Face, LangChain, LangGraph, NotebookLM, OpenAI API, Perplexity, Pinecone, Zapier, v0","Student FAQs, [Grow] MCP Introduction & What it Enables, [Build] Tavily Setup, Prompt Optimizations For The Enterprise, [Grow] RAG Optimizations Deep Dive (Caching & Agentic RAG Deepdive), Step 1: Scoping Your Project (ScratchPad), [Grow] A Real-World Multi-Agent System: Google's AI Co-Scientist, [Grow] NotebookLM For Analysis, [Build] Assignment 3 - Evaluate your system  in Arize, [Build] Assignment 3 Solutions, [Grow] A Deep Dive on Agent Protocols & Best Resources, [Grow] A 101 Fine-Tuning Guide, [Core] Advanced RAG Methods + Implementing Memory in Agents, [Grow] Demo Day Videos From Past Cohorts, Stuck?  Start Here"
Building a Personal Brand,https://maven.com/mallory/building-a-personal-brand,"Branding, Career Growth, Entrepreneurship, Influence, Marketing",,"ChatGPT, Claude","Submit output: Personal Brand LLM Prompt, Develop your beats, Update one public surface area, Submit: Personal brand toolkit, Use our custom prompt to create your 90 day plan, First draft: Positioning statement, Getting started"
Cash Flow Forecasting and Modeling - Level 1,https://maven.com/seidman-financial/cash-flow-forecasting-and-modeling,Forecasting,,,"Complete the course feedback survey, About Carl, the Instructor and Your Partner, Cash Flow Modeling Best Practices | Contents and Formulas, Build Your Own Sales and Collections Forecast, Modeling Operating Improvements and Changes to Working Capital, Modeling Financing Strategy with Excess Cash and Cash Flow Surpluses, Getting the Timing Right: Accrual vs. Cash, Modeling Direct Costs and Payments, Introduction to the Business Case, Book a Call, Reorganizing and Revitalizing the Business, Cash Flow Forecasting and Modeling: Session Details, Cash Flow Modeling Best Practices | Structure, Cash Flow Modeling Best Practices | Quality Review and Presentation, Structuring the Cash Flow Forecast Model"
Cash Flow Mastery: Deep Dive Modeling - Level 2,https://maven.com/seidman-financial/cash-flow-mastery-deep-dive-modeling,"Financial Modeling, Forecasting",,,Session Content
Cheat at Search with Agents,https://maven.com/softwaredoug/cheat-at-search,"AI, Search","A1: Strategy & Feasibility (30%), B3: Agents & RAG (30%)",,Prework Checklist
Claude Code for Product Managers,https://maven.com/aman-khan/claude-code-for-product-managers,"AI, Coding with AI, Product Strategy","A4: Shipping & Lifecycle (80%), A1: Strategy & Feasibility (30%), A2: PRD & Specs (30%), A5 (80%)","Claude, Claude Code, Cursor","Write your first AI generated spec and UX mockup plan, Build 5 prototypes, Setup your development pipeline, Showcase your project"
Claude for Builders: AI Workflows and Product Prototyping,https://maven.com/james-gray/claude,"AI, Agentic AI, Coding with AI","A2: PRD & Specs (80%), B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A3: Eval & Iteration (30%), A4: Shipping & Lifecycle (30%), B2: System Architecture (30%), A5 (80%)","ChatGPT, Claude, Claude Code, Cursor, Gemini","Analyze the Software Development Lifecycle with Claude Code, Ship Your Skill for Reuse, Configure Claude Personalization and Memory Settings, Develop Product Requirement Documents from Vision Briefs, Analyze the Anatomy of an Agent Skill, Apply Prompt Engineering Fundamentals, Deconstruct Your Workflows into Structured Specifications, Apply Prompting Patterns for Better LLM Responses, Evaluate Pull Requests with Claude Code in GitHub, Personalized 1:1 Coaching, Implement Voice-to-Text for Hands-Free AI Collaboration, Implement Scheduled Execution for Claude Code Subagents, Deconstruct Your Workflows and Identify AI Building Blocks, Identify Your Workflow Candidates, Build a Deterministic Automated Workflow"
Communication Strategies for Managers,https://maven.com/kimnicol/communication-strategies,"Communication, Management",C1 (80%),,"Watch the replay:  Speaking Up, Self-Advocacy, and Boundaries, Speaking Up with Authentic Confidence, Meetings by design, not default., Private Coaching, Team Workshops & Training, Watch the Replay:  Class 6, Beyond ""The Sandwich"", Checklist:  Relationships, Tools, and Timelines, Giving Feedback to Defensive People, Assignment: Reflection Questions, Assignment: Reflecting on Effective Communication, Assignment: Meetings Review, Assignment: Feedback Reflection + Action Plan, Assignment:  Reflection Questions, Mindset + Resources for Managing Up, Watch the Replays"
Communication and Stakeholder Management for PMs,https://maven.com/christinakweiss/communication-and-stakeholder-management-for-product-managers,Communication,C1 (80%),,Quiz: DISC profile assessment
Cracking the C-suite 'How to Get and Master Key Executive Roles',https://maven.com/ethan-evans/cracking-the-c-suite,Leadership,,,"Resource Guide, Mariposa Leadership 1:1 executive coaching, FAQs, Alumni discount on all Ethan Evans on-demand career development courses"
Customer Jobs-to-be-Done Fundamentals,https://maven.com/customer-centric-solutions-llc/jtbd-besci-for-more-insightful-customer-interviews,User Research,A1: Strategy & Feasibility (30%),,"Jobs as Progress vs. Jobs as Activities, Job Statements (writing them), B2C Examples of Job Hierarchy, JTBD Assignment #1 Job Types (B2C advertisement), JTBD Assignment #2 Job Types (B2B advertisement), JTBD Assignment #4 Events, Forces & Desires, Solutions, JTBD Assignment #7 Identifying Jobs, Pains and Gains, The Four Quadrants, Switching Behavior, Solutions (hired, prior, considered, make progress, etc.), Customer JTBD Prioritization (Qualitative), The Twelve Elements of Customer Progress, Navigating the course content on Maven, Core Principles of Job Theory, Do's and Dont's when writing Job Statements"
Data Informed Design: How to Pitch Why Your Design Work Matters,https://maven.com/data-informed-design/datainformeddesign,Storytelling,"A3: Eval & Iteration (80%), A1: Strategy & Feasibility (30%), A2: PRD & Specs (30%), D1: Communication & Influence (30%)","ChatGPT, Claude, Figma","Create your first Data Visualization Draft with Data Wrapper, Book a 1:1 call with me, The Doubtful stakeholder Exercise: ""So what?"", How do you feel about Data?, Your project Redesign: Product Strategy & Design Exercise, Get the first Data Visualization step done: Talk it Out, Exercise: Build your AI PM second brain and validate your hypothesis, Final Exercise: Create a 5-minute  Strategic presentation, The 3-tier Evidence Hierarchy, What is my prompt? A hypothesis, Step 1 of building a second brain: Add Data, Turn your core challenge into a Data Visualization Hook, The 5-minute UX Story: the universal strategic presentation, Turn validated insights into design recommendations, Who are you targeting? 4 Change Agents"
Decision-Making with ChatGPT,https://maven.com/cassie-kozyrkov/decisiongpt,AI,"A1: Strategy & Feasibility (80%), A2: PRD & Specs (30%), A3: Eval & Iteration (30%)","ChatGPT, Custom GPTs","Foundations, Why should you fight outcome bias?, What is data for?, Why should you rethink what translation means?, What are the top 3 skills for ChatGPT?, How do you use ChatGPT when the stakes are low?, How do you get in touch with your assumptions?, What is this course about?, Handy How-Tos, How do you cure confirmation bias?, When should you use intuition?, Core Concepts, How do you use ChatGPT for data analysis?, What is Deep Research?, How do you use ChatGPT for self-reflection?"
Describing the ROI of Design,https://maven.com/ryan-scott/roi-of-design,"Career Growth, Leadership, Strategy",C1 (80%),Figma,"Proprietary frameworks: Gain mainstream adoption for your ideas, Required: Best practices to create an effective Impact Map, The risks of limiting Design's value to product outcomes, Tactics to succeed at any Company Stage, How Company Culture affects designers, Why driving your company towards design matters, Case study: Dancing man creates a movement, Design does more than hit metrics, How Company Structure affects designers, Why Designers over-rely on product outcomes, Exercise: Apply the Impact Map to one of your projects, Exercise: Apply the Business Value Framework to a project, Exercise: Identify the profile & your approach to your company, In-session exercise: Anticipating changes at your company, Proprietary Framework: Approach Variables"
"Design Apps Faster in Figma, Deliver with Confidence",https://maven.com/build-together/product-design-masterclass,Figma,"A2: PRD & Specs (30%), D1: Communication & Influence (30%)",Figma,"Constraints, The Perfect Shadow, Choosing a Color Scheme, Intro to Design Systems, Coming up with a Solution, Navigation Menu, Category Selection, Item Details Page Wireframe, Notification Page Wireframe, Rental History Wireframe, Item Details Mockups, Notification Mockup, Rental History Mockups, Notification Dropdown, Item Details Page"
Design Job Search: Strategy & Tactics,https://maven.com/ryan-scott/career-job-search-strategy-for-designers,"Career Growth, Interviewing",,,"Live exercise: Build your Track Record, Live exercise: Write your Career Intention Statement, Live exercise: Rank your role wants & needs, Live exercise: Analyze your Track Record, Live exercise: Define your target role profile"
Design Leadership at Scale: Executive,https://maven.com/design-leadership-at-scale/dls-executive,Leadership,,,"1.3: Evolve Into a Hybrid Business Leader, Module 1, 1.1: Develop Strategic Design Leadership, 1.2: Prepare the Environment for Success, 1.4: Build Your Approach, 2.2: Chart The Experience Vision, 2.5: Optimize Current Experiences, Module 2, 2.3: Transform Product Culture and Innovation, 2.4: Connect The Work To Clear Business Outcomes, 2.1: Assess The Work, Module 3, 3.4: Become A Modern Design Executive, 3.3: Build Cross-Functional Influence, 3.1: Develop A System Perspective"
Design Patterns For AI Products In 2026,https://maven.com/web-adventures/design-patterns-ai-interfaces,AI,"A1: Strategy & Feasibility (80%), B1: Models & Selection (80%), B2: System Architecture (80%), A2: PRD & Specs (30%), D1: Communication & Influence (30%), A5 (30%)","ChatGPT, Claude, Copilot, Figma, Gemini, Hugging Face, Lovable, Zapier","Temperature, State of AI Usability, State of AI in 2026, Next steps, Notion Board, Slack and Video Course, Digital Sustainability, Designing AI Experiences, Orchestration UX, Summary, Designing Guardrails and Permissions, Designing Output UX, Feature Discoverability, Designing Input UX (Part 2), AI Accessibility, Scaffolding (Part 2)"
Design System Bootcamp,https://maven.com/ui-prep/design-system-bootcamp,"Design Systems, Figma",D1: Communication & Influence (80%),Figma,"Color is not a science, Unlock design system scalability with variables, Spacing & sizing 101, Documentation tools, File structure maps, Using transparent colors, Spacing & layout guides, The people part of Design Systems, Variables for responsive design, Understanding advanced component features, The many faces of themeable design systems, Plugin: Variablize Text Styles, Building your design system toolkit, Effect plugins, Token naming examples"
Designing Generative AI for conversations and content,https://maven.com/convocat/genai-design,AI,"A2: PRD & Specs (80%), B2: System Architecture (80%), A1: Strategy & Feasibility (30%), A3: Eval & Iteration (30%), B3: Agents & RAG (30%), D1: Communication & Influence (30%)","ChatGPT, Claude, GPT-4, LangChain, LangGraph","Generative AI: key concepts (level: starter), Cobuild session: prompts used in session 2, What to prepare and install for Session 1, Tools for my work, Project: creative writing mentor (pick one project, or try them all :-) !), Project: pub quiz generator (pick one project, or try them all :-) !), Project: error message humanizer (pick one project, or try them all :-) !), Turn your system prompt into a Custom GPT, Project: fix this bot, Project: Design a social media generator, For you to try: build a 'talk to my resume' bot in Mindstudio, For you to try : build a basic 'talk to my style guide' bot in Mindstudio, For you to try: different system prompts for the EU AI act, Exercise: generate your own task flow, Project: working with data sources in your prompt chain"
Designing Your Next Career Step,https://maven.com/simone-stolzoff/designing-your-next-career-step,Career Growth,,,"Design Kit, Why you'll marry the wrong person, A toast to the rejects"
